Vardas                        Pavardė                      ND1  ND2  ND3  ND4  ND5  EGZ  
Vardas209                     Pavardė209                   4    4    1    10   9    4    
Vardas210                     Pavardė210                   5    5    7    10   2    7    
Vardas211                     Pavardė211                   3    6    4    7    3    5    
Vardas212                     Pavardė212                   1    9    2    5    6    4    
Vardas213                     Pavardė213                   6    7    8    9    4    4    
Vardas214                     Pavardė214                   1    7    1    10   9    10   
Vardas215                     Pavardė215                   8    7    9    5    5    10   
Vardas216                     Pavardė216                   7    10   6    3    9    3    
Vardas217                     Pavardė217                   6    7    3    8    6    7    
Vardas218                     Pavardė218                   4    3    7    1    5    3    
Vardas219                     Pavardė219                   6    2    3    5    6    3    
Vardas220                     Pavardė220                   7    4    6    5    3    4    
Vardas221                     Pavardė221                   5    3    9    5    8    8    
Vardas222                     Pavardė222                   1    9    6    5    2    3    
Vardas223                     Pavardė223                   8    10   1    8    1    1    
Vardas224                     Pavardė224                   6    2    8    8    6    3    
Vardas225                     Pavardė225                   7    6    5    10   10   8    
Vardas226                     Pavardė226                   8    1    2    3    9    9    
Vardas227                     Pavardė227                   4    6    7    4    2    3    
Vardas228                     Pavardė228                   2    7    4    10   8    9    
Vardas229                     Pavardė229                   2    3    6    9    6    6    
Vardas230                     Pavardė230                   2    4    7    3    3    5    
Vardas231                     Pavardė231                   3    8    6    4    3    6    
Vardas232                     Pavardė232                   5    8    9    8    9    6    
Vardas233                     Pavardė233                   7    6    9    3    1    3    
Vardas234                     Pavardė234                   6    7    3    5    10   2    
Vardas235                     Pavardė235                   5    6    6    1    7    3    
Vardas236                     Pavardė236                   3    10   6    8    2    3    
Vardas237                     Pavardė237                   2    3    5    10   5    1    
Vardas238                     Pavardė238                   5    6    2    3    6    8    
Vardas239                     Pavardė239                   2    8    4    4    4    2    
Vardas240                     Pavardė240                   6    7    6    2    4    6    
Vardas241                     Pavardė241                   6    7    1    8    6    3    
Vardas242                     Pavardė242                   3    7    9    6    8    4    
Vardas243                     Pavardė243                   1    1    9    2    2    5    
Vardas244                     Pavardė244                   2    10   4    8    8    10   
Vardas245                     Pavardė245                   1    9    10   4    9    9    
Vardas246                     Pavardė246                   5    1    2    5    3    9    
Vardas247                     Pavardė247                   7    7    7    1    8    4    
Vardas248                     Pavardė248                   6    3    4    7    6    7    
Vardas249                     Pavardė249                   9    8    5    7    1    6    
Vardas250                     Pavardė250                   7    4    10   3    7    7    
Vardas251                     Pavardė251                   9    9    2    9    4    1    
Vardas252                     Pavardė252                   5    8    6    8    1    4    
Vardas253                     Pavardė253                   8    3    9    4    4    9    
Vardas254                     Pavardė254                   9    3    9    6    7    9    
Vardas255                     Pavardė255                   7    3    2    2    2    6    
Vardas256                     Pavardė256                   7    8    3    9    10   9    
Vardas257                     Pavardė257                   5    6    3    3    2    3    
Vardas258                     Pavardė258                   10   5    10   1    7    2    
Vardas259                     Pavardė259                   6    10   6    3    5    7    
Vardas260                     Pavardė260                   4    8    4    5    4    8    
Vardas261                     Pavardė261                   10   4    1    10   8    1    
Vardas262                     Pavardė262                   1    2    9    2    4    4    
Vardas263                     Pavardė263                   9    7    9    4    1    6    
Vardas264                     Pavardė264                   5    8    9    9    4    2    
Vardas265                     Pavardė265                   6    1    1    9    5    3    
Vardas266                     Pavardė266                   7    4    6    3    2    4    
Vardas267                     Pavardė267                   2    10   2    3    4    4    
Vardas268                     Pavardė268                   3    2    9    5    7    1    
Vardas269                     Pavardė269                   8    7    9    3    6    3    
Vardas270                     Pavardė270                   4    4    8    6    3    6    
Vardas271                     Pavardė271                   1    7    3    2    10   8    
Vardas272                     Pavardė272                   8    5    2    8    3    3    
Vardas273                     Pavardė273                   4    10   4    1    7    2    
Vardas274                     Pavardė274                   4    1    6    9    10   6    
Vardas275                     Pavardė275                   7    10   6    8    5    4    
Vardas276                     Pavardė276                   4    8    5    4    6    6    
Vardas277                     Pavardė277                   1    9    9    3    9    3    
Vardas278                     Pavardė278                   7    3    2    9    9    1    
Vardas279                     Pavardė279                   2    2    6    9    2    5    
Vardas280                     Pavardė280                   5    3    1    7    4    6    
Vardas281                     Pavardė281                   8    6    10   2    7    8    
Vardas282                     Pavardė282                   9    5    2    5    3    6    
Vardas283                     Pavardė283                   4    8    1    1    8    1    
Vardas284                     Pavardė284                   8    8    3    8    4    9    
Vardas285                     Pavardė285                   9    5    6    7    5    1    
Vardas286                     Pavardė286                   4    2    4    9    4    3    
Vardas287                     Pavardė287                   7    5    8    1    4    6    
Vardas288                     Pavardė288                   8    6    7    3    5    6    
Vardas289                     Pavardė289                   8    2    8    5    9    2    
Vardas290                     Pavardė290                   2    6    7    9    6    2    
Vardas291                     Pavardė291                   3    9    7    7    10   6    
Vardas292                     Pavardė292                   5    3    4    3    1    1    
Vardas293                     Pavardė293                   6    1    4    5    6    1    
Vardas294                     Pavardė294                   3    5    5    1    6    4    
Vardas295                     Pavardė295                   8    5    5    10   9    4    
Vardas296                     Pavardė296                   3    2    2    9    2    9    
Vardas297                     Pavardė297                   1    2    5    8    8    7    
Vardas298                     Pavardė298                   4    3    6    6    7    10   
Vardas299                     Pavardė299                   8    2    10   4    5    2    
Vardas300                     Pavardė300                   7    4    6    5    4    7    
Vardas301                     Pavardė301                   8    4    5    4    5    1    
Vardas302                     Pavardė302                   4    2    10   9    5    9    
Vardas303                     Pavardė303                   3    8    6    10   1    5    
Vardas304                     Pavardė304                   3    7    7    1    2    6    
Vardas305                     Pavardė305                   1    6    2    4    9    5    
Vardas306                     Pavardė306                   2    9    2    8    5    1    
Vardas307                     Pavardė307                   6    4    8    3    3    10   
Vardas308                     Pavardė308                   5    10   6    3    4    2    
Vardas309                     Pavardė309                   6    7    2    10   7    3    
Vardas310                     Pavardė310                   5    7    6    3    6    3    
Vardas311                     Pavardė311                   4    4    5    2    1    7    
Vardas312                     Pavardė312                   10   7    2    10   6    5    
Vardas313                     Pavardė313                   2    7    8    10   10   9    
Vardas314                     Pavardė314                   9    7    8    3    9    2    
Vardas315                     Pavardė315                   1    6    4    5    10   3    
Vardas316                     Pavardė316                   4    1    1    2    2    4    
Vardas317                     Pavardė317                   6    6    1    7    1    9    
Vardas318                     Pavardė318                   10   7    8    6    5    3    
Vardas319                     Pavardė319                   2    6    6    3    3    9    
Vardas320                     Pavardė320                   1    3    2    1    7    6    
Vardas321                     Pavardė321                   2    6    9    3    7    9    
Vardas322                     Pavardė322                   10   10   6    4    9    2    
Vardas323                     Pavardė323                   9    6    6    7    8    3    
Vardas324                     Pavardė324                   10   7    5    2    6    3    
Vardas325                     Pavardė325                   7    6    2    6    6    8    
Vardas326                     Pavardė326                   7    4    7    3    6    6    
Vardas327                     Pavardė327                   9    3    10   6    3    10   
Vardas328                     Pavardė328                   5    4    4    10   6    6    
Vardas329                     Pavardė329                   10   1    3    8    10   4    
Vardas330                     Pavardė330                   6    4    2    1    9    9    
Vardas331                     Pavardė331                   4    4    2    9    3    8    
Vardas332                     Pavardė332                   8    9    9    3    3    6    
Vardas333                     Pavardė333                   3    10   4    10   10   6    
Vardas334                     Pavardė334                   4    1    10   8    1    7    
Vardas335                     Pavardė335                   6    4    10   1    2    2    
Vardas336                     Pavardė336                   10   5    6    4    4    1    
Vardas337                     Pavardė337                   1    7    2    4    6    6    
Vardas338                     Pavardė338                   7    8    3    3    1    2    
Vardas339                     Pavardė339                   1    9    2    10   2    9    
Vardas340                     Pavardė340                   1    1    2    6    2    10   
Vardas341                     Pavardė341                   2    9    1    5    2    5    
Vardas342                     Pavardė342                   8    2    8    1    7    2    
Vardas343                     Pavardė343                   9    2    9    3    4    10   
Vardas344                     Pavardė344                   1    9    2    2    1    10   
Vardas345                     Pavardė345                   3    7    6    4    9    7    
Vardas346                     Pavardė346                   4    6    5    8    8    2    
Vardas347                     Pavardė347                   4    1    4    10   2    2    
Vardas348                     Pavardė348                   2    7    9    6    10   6    
Vardas349                     Pavardė349                   4    10   6    4    5    3    
Vardas350                     Pavardė350                   6    1    2    10   8    3    
Vardas351                     Pavardė351                   7    9    3    2    8    5    
Vardas352                     Pavardė352                   5    10   7    3    5    4    
Vardas353                     Pavardė353                   8    2    7    3    1    9    
Vardas354                     Pavardė354                   5    6    1    3    7    5    
Vardas355                     Pavardė355                   7    4    9    5    10   7    
Vardas356                     Pavardė356                   3    6    8    5    7    3    
Vardas357                     Pavardė357                   8    8    8    8    3    7    
Vardas358                     Pavardė358                   6    1    7    1    4    4    
Vardas359                     Pavardė359                   3    8    8    8    5    1    
Vardas360                     Pavardė360                   5    7    10   9    1    4    
Vardas361                     Pavardė361                   1    4    9    3    10   4    
Vardas362                     Pavardė362                   6    5    9    2    4    3    
Vardas363                     Pavardė363                   5    8    9    2    1    1    
Vardas364                     Pavardė364                   10   10   5    5    4    2    
Vardas365                     Pavardė365                   10   6    7    9    2    6    
Vardas366                     Pavardė366                   4    10   9    3    9    5    
Vardas367                     Pavardė367                   1    2    6    4    9    5    
Vardas368                     Pavardė368                   9    5    10   3    8    4    
Vardas369                     Pavardė369                   8    3    4    5    10   5    
Vardas370                     Pavardė370                   7    10   10   2    7    9    
Vardas371                     Pavardė371                   7    6    10   1    9    1    
Vardas372                     Pavardė372                   10   2    9    9    9    3    
Vardas373                     Pavardė373                   7    8    7    5    4    2    
Vardas374                     Pavardė374                   1    3    2    8    8    9    
Vardas375                     Pavardė375                   4    7    7    2    2    3    
Vardas376                     Pavardė376                   8    6    9    3    3    1    
Vardas377                     Pavardė377                   5    8    10   1    8    1    
Vardas378                     Pavardė378                   2    2    9    2    7    9    
Vardas379                     Pavardė379                   6    5    10   8    9    9    
Vardas380                     Pavardė380                   1    7    2    9    7    4    
Vardas381                     Pavardė381                   3    2    4    2    4    3    
Vardas382                     Pavardė382                   4    9    5    5    9    3    
Vardas383                     Pavardė383                   7    4    8    7    5    10   
Vardas384                     Pavardė384                   3    9    5    5    8    1    
Vardas385                     Pavardė385                   3    3    4    4    10   6    
Vardas386                     Pavardė386                   9    6    9    10   1    7    
Vardas387                     Pavardė387                   8    3    1    8    3    7    
Vardas388                     Pavardė388                   3    6    8    1    3    3    
Vardas389                     Pavardė389                   4    4    2    8    1    1    
Vardas390                     Pavardė390                   7    8    2    1    3    3    
Vardas391                     Pavardė391                   9    7    3    9    3    5    
Vardas392                     Pavardė392                   8    6    8    8    9    3    
Vardas393                     Pavardė393                   2    1    5    10   9    9    
Vardas394                     Pavardė394                   10   1    1    6    4    9    
Vardas395                     Pavardė395                   3    8    8    2    2    3    
Vardas396                     Pavardė396                   3    10   7    10   2    7    
Vardas397                     Pavardė397                   1    6    5    4    2    1    
Vardas398                     Pavardė398                   7    5    1    8    9    2    
Vardas399                     Pavardė399                   7    9    5    10   9    10   
Vardas400                     Pavardė400                   8    4    5    1    5    2    
Vardas401                     Pavardė401                   9    6    2    5    1    6    
Vardas402                     Pavardė402                   7    5    9    2    9    9    
Vardas403                     Pavardė403                   1    8    1    5    7    2    
Vardas404                     Pavardė404                   3    10   10   9    9    7    
Vardas405                     Pavardė405                   6    6    10   9    1    5    
Vardas406                     Pavardė406                   2    7    4    4    8    2    
Vardas407                     Pavardė407                   2    10   1    9    6    8    
Vardas408                     Pavardė408                   1    7    2    9    5    4    
Vardas409                     Pavardė409                   3    10   6    5    4    2    
Vardas410                     Pavardė410                   3    9    7    8    6    6    
Vardas411                     Pavardė411                   3    4    5    6    3    10   
Vardas412                     Pavardė412                   2    1    4    9    8    7    
Vardas413                     Pavardė413                   5    8    5    2    2    9    
Vardas414                     Pavardė414                   4    3    2    5    8    10   
Vardas415                     Pavardė415                   7    8    4    8    5    9    
Vardas416                     Pavardė416                   1    6    2    7    10   7    
Vardas417                     Pavardė417                   2    1    4    7    5    9    
Vardas418                     Pavardė418                   2    3    10   3    1    2    
Vardas419                     Pavardė419                   10   3    6    7    3    6    
Vardas420                     Pavardė420                   7    5    1    7    9    2    
Vardas421                     Pavardė421                   1    8    6    2    9    2    
Vardas422                     Pavardė422                   2    4    8    1    6    3    
Vardas423                     Pavardė423                   4    4    10   3    1    7    
Vardas424                     Pavardė424                   8    6    5    8    4    3    
Vardas425                     Pavardė425                   9    4    5    5    5    6    
Vardas426                     Pavardė426                   9    3    2    9    7    8    
Vardas427                     Pavardė427                   4    10   9    8    6    10   
Vardas428                     Pavardė428                   9    6    7    7    1    3    
Vardas429                     Pavardė429                   2    3    5    6    10   6    
Vardas430                     Pavardė430                   10   3    4    9    5    6    
Vardas431                     Pavardė431                   3    3    5    6    1    1    
Vardas432                     Pavardė432                   7    8    2    3    6    9    
Vardas433                     Pavardė433                   2    2    10   4    10   9    
Vardas434                     Pavardė434                   4    8    7    8    1    9    
Vardas435                     Pavardė435                   10   7    4    8    3    1    
Vardas436                     Pavardė436                   4    6    7    2    5    1    
Vardas437                     Pavardė437                   9    6    5    7    9    4    
Vardas438                     Pavardė438                   5    6    6    9    1    7    
Vardas439                     Pavardė439                   2    6    2    9    7    8    
Vardas440                     Pavardė440                   10   7    2    5    1    10   
Vardas441                     Pavardė441                   4    9    4    10   5    4    
Vardas442                     Pavardė442                   5    9    10   2    10   9    
Vardas443                     Pavardė443                   3    4    4    4    4    1    
Vardas444                     Pavardė444                   7    5    9    6    1    6    
Vardas445                     Pavardė445                   1    7    2    8    10   9    
Vardas446                     Pavardė446                   4    9    2    1    3    6    
Vardas447                     Pavardė447                   8    5    1    7    6    8    
Vardas448                     Pavardė448                   3    6    2    9    5    8    
Vardas449                     Pavardė449                   7    10   10   1    10   2    
Vardas450                     Pavardė450                   2    1    5    4    4    9    
Vardas451                     Pavardė451                   2    9    10   5    4    5    
Vardas452                     Pavardė452                   3    10   1    6    8    8    
Vardas453                     Pavardė453                   3    2    3    8    8    9    
Vardas454                     Pavardė454                   4    1    8    6    2    3    
Vardas455                     Pavardė455                   3    5    2    2    9    10   
Vardas456                     Pavardė456                   4    4    3    10   3    8    
Vardas457                     Pavardė457                   7    10   9    8    5    4    
Vardas458                     Pavardė458                   3    8    4    10   10   7    
Vardas459                     Pavardė459                   9    5    7    3    8    4    
Vardas460                     Pavardė460                   7    10   3    6    10   6    
Vardas461                     Pavardė461                   9    8    6    2    6    10   
Vardas462                     Pavardė462                   8    6    8    5    5    3    
Vardas463                     Pavardė463                   10   4    10   5    6    10   
Vardas464                     Pavardė464                   8    9    3    1    9    4    
Vardas465                     Pavardė465                   1    1    1    10   4    4    
Vardas466                     Pavardė466                   8    6    2    6    3    8    
Vardas467                     Pavardė467                   3    2    6    8    3    6    
Vardas468                     Pavardė468                   5    5    10   9    5    9    
Vardas469                     Pavardė469                   2    5    4    9    10   2    
Vardas470                     Pavardė470                   3    2    9    9    1    8    
Vardas471                     Pavardė471                   10   9    6    4    1    10   
Vardas472                     Pavardė472                   3    3    4    1    10   10   
Vardas473                     Pavardė473                   10   2    7    7    9    8    
Vardas474                     Pavardė474                   9    3    3    6    8    4    
Vardas475                     Pavardė475                   8    4    4    6    7    1    
Vardas476                     Pavardė476                   5    2    9    8    5    4    
Vardas477                     Pavardė477                   6    9    4    8    2    4    
Vardas478                     Pavardė478                   7    1    5    3    8    5    
Vardas479                     Pavardė479                   6    7    4    6    9    8    
Vardas480                     Pavardė480                   3    2    10   5    9    8    
Vardas481                     Pavardė481                   10   9    1    10   8    4    
Vardas482                     Pavardė482                   3    3    1    1    4    2    
Vardas483                     Pavardė483                   1    3    2    2    6    4    
Vardas484                     Pavardė484                   7    9    3    2    10   5    
Vardas485                     Pavardė485                   10   5    4    2    8    10   
Vardas486                     Pavardė486                   4    10   6    10   6    1    
Vardas487                     Pavardė487                   1    2    1    4    5    5    
Vardas488                     Pavardė488                   6    2    3    4    4    7    
Vardas489                     Pavardė489                   8    6    1    9    6    7    
Vardas490                     Pavardė490                   6    3    9    3    1    9    
Vardas491                     Pavardė491                   4    9    3    3    1    3    
Vardas492                     Pavardė492                   10   4    8    9    1    3    
Vardas493                     Pavardė493                   5    9    10   4    9    7    
Vardas494                     Pavardė494                   8    4    3    4    4    4    
