Vardas                        Pavardė                      ND1  ND2  ND3  ND4  ND5  EGZ  
Vardas74                      Pavardė74                    5    7    7    10   8    8    
Vardas75                      Pavardė75                    8    10   4    4    3    10   
Vardas76                      Pavardė76                    10   2    4    7    10   8    
Vardas77                      Pavardė77                    7    1    7    1    2    3    
Vardas78                      Pavardė78                    8    1    9    7    2    9    
Vardas79                      Pavardė79                    6    8    8    8    4    2    
Vardas80                      Pavardė80                    6    1    9    1    2    5    
Vardas81                      Pavardė81                    5    5    9    4    6    2    
Vardas82                      Pavardė82                    4    7    8    5    10   4    
Vardas83                      Pavardė83                    9    8    8    4    5    3    
Vardas84                      Pavardė84                    6    3    7    5    9    3    
Vardas85                      Pavardė85                    8    2    10   8    6    4    
Vardas86                      Pavardė86                    8    7    6    10   10   9    
Vardas87                      Pavardė87                    9    8    2    4    9    9    
Vardas88                      Pavardė88                    4    7    6    8    9    4    
Vardas89                      Pavardė89                    10   8    5    3    2    4    
Vardas90                      Pavardė90                    1    10   2    3    1    4    
Vardas91                      Pavardė91                    1    8    3    7    9    10   
Vardas92                      Pavardė92                    1    1    4    4    8    9    
Vardas93                      Pavardė93                    5    8    5    8    4    6    
Vardas94                      Pavardė94                    10   1    9    7    7    8    
Vardas95                      Pavardė95                    3    9    6    3    8    5    
Vardas96                      Pavardė96                    10   2    3    10   10   3    
Vardas97                      Pavardė97                    10   8    1    6    9    5    
Vardas98                      Pavardė98                    4    7    2    7    2    6    
Vardas99                      Pavardė99                    8    1    3    9    5    6    
Vardas100                     Pavardė100                   5    6    2    7    9    4    
Vardas101                     Pavardė101                   6    8    3    7    8    6    
Vardas102                     Pavardė102                   4    8    9    7    6    3    
Vardas103                     Pavardė103                   2    4    8    9    5    2    
Vardas104                     Pavardė104                   6    6    5    8    4    10   
Vardas105                     Pavardė105                   2    3    10   1    2    8    
Vardas106                     Pavardė106                   9    6    1    7    7    3    
Vardas107                     Pavardė107                   6    4    2    4    8    7    
Vardas108                     Pavardė108                   3    7    1    10   8    8    
Vardas109                     Pavardė109                   9    9    4    3    8    3    
Vardas110                     Pavardė110                   7    10   2    5    10   1    
Vardas111                     Pavardė111                   5    5    2    8    9    1    
Vardas112                     Pavardė112                   10   7    7    9    7    2    
Vardas113                     Pavardė113                   1    6    4    4    3    3    
Vardas114                     Pavardė114                   7    1    1    6    8    10   
Vardas115                     Pavardė115                   2    6    9    2    7    7    
Vardas116                     Pavardė116                   2    9    6    2    10   6    
Vardas117                     Pavardė117                   3    6    4    6    6    10   
Vardas118                     Pavardė118                   4    8    1    2    6    7    
Vardas119                     Pavardė119                   4    3    7    6    9    4    
Vardas120                     Pavardė120                   3    5    5    8    5    2    
Vardas121                     Pavardė121                   7    3    7    4    6    8    
Vardas122                     Pavardė122                   8    9    7    1    7    6    
Vardas123                     Pavardė123                   1    9    4    3    1    1    
Vardas124                     Pavardė124                   5    3    2    1    7    4    
Vardas125                     Pavardė125                   8    1    9    1    8    6    
Vardas126                     Pavardė126                   6    5    2    8    6    5    
Vardas127                     Pavardė127                   7    9    8    10   4    7    
Vardas128                     Pavardė128                   10   7    10   6    6    5    
Vardas129                     Pavardė129                   9    4    7    10   8    9    
Vardas130                     Pavardė130                   10   5    4    9    9    9    
Vardas131                     Pavardė131                   2    6    2    1    6    1    
Vardas132                     Pavardė132                   10   7    8    8    6    3    
Vardas133                     Pavardė133                   8    3    8    7    1    1    
Vardas134                     Pavardė134                   2    7    1    8    5    7    
Vardas135                     Pavardė135                   8    1    6    1    5    1    
Vardas136                     Pavardė136                   7    3    9    5    10   4    
Vardas137                     Pavardė137                   7    6    9    9    4    5    
Vardas138                     Pavardė138                   8    6    6    2    1    7    
Vardas139                     Pavardė139                   10   5    6    9    9    7    
Vardas140                     Pavardė140                   9    5    6    7    5    6    
Vardas141                     Pavardė141                   6    9    10   1    1    6    
Vardas142                     Pavardė142                   3    10   1    6    10   7    
Vardas143                     Pavardė143                   8    9    6    10   9    1    
Vardas144                     Pavardė144                   5    1    8    2    6    6    
Vardas145                     Pavardė145                   1    1    2    9    6    7    
Vardas146                     Pavardė146                   10   6    7    10   1    4    
Vardas147                     Pavardė147                   2    1    2    2    5    9    
Vardas148                     Pavardė148                   10   7    10   3    4    4    
Vardas149                     Pavardė149                   8    7    4    1    6    6    
Vardas150                     Pavardė150                   6    3    5    7    2    8    
Vardas151                     Pavardė151                   3    3    8    6    10   3    
Vardas152                     Pavardė152                   6    7    4    3    2    4    
Vardas153                     Pavardė153                   3    8    7    8    10   9    
Vardas154                     Pavardė154                   9    9    1    7    7    9    
Vardas155                     Pavardė155                   2    8    5    7    7    4    
Vardas156                     Pavardė156                   3    8    4    5    4    9    
Vardas157                     Pavardė157                   9    7    3    5    1    10   
Vardas158                     Pavardė158                   3    6    10   7    7    5    
Vardas159                     Pavardė159                   8    3    8    9    6    5    
Vardas160                     Pavardė160                   2    8    10   1    1    9    
Vardas161                     Pavardė161                   2    7    8    10   6    8    
Vardas162                     Pavardė162                   5    9    5    2    2    1    
Vardas163                     Pavardė163                   9    3    3    1    7    5    
Vardas164                     Pavardė164                   8    10   7    8    2    5    
Vardas165                     Pavardė165                   1    5    7    6    1    1    
Vardas166                     Pavardė166                   3    7    7    5    9    8    
Vardas167                     Pavardė167                   5    4    5    2    3    1    
Vardas168                     Pavardė168                   1    2    4    2    1    6    
Vardas169                     Pavardė169                   6    2    7    6    1    2    
Vardas170                     Pavardė170                   7    8    10   7    5    7    
Vardas171                     Pavardė171                   1    6    4    2    9    10   
Vardas172                     Pavardė172                   8    10   1    1    3    3    
Vardas173                     Pavardė173                   10   3    2    6    10   2    
Vardas174                     Pavardė174                   10   7    4    9    1    10   
Vardas175                     Pavardė175                   9    9    10   5    6    2    
Vardas176                     Pavardė176                   9    9    10   10   4    8    
Vardas177                     Pavardė177                   3    5    1    7    8    4    
Vardas178                     Pavardė178                   7    9    9    7    7    1    
Vardas179                     Pavardė179                   10   6    2    5    7    1    
Vardas180                     Pavardė180                   6    5    4    6    1    7    
Vardas181                     Pavardė181                   2    8    7    2    6    9    
Vardas182                     Pavardė182                   8    3    8    7    9    5    
Vardas183                     Pavardė183                   10   6    10   4    4    9    
Vardas184                     Pavardė184                   4    4    3    5    9    2    
Vardas185                     Pavardė185                   10   5    4    3    7    1    
Vardas186                     Pavardė186                   1    10   7    4    4    9    
Vardas187                     Pavardė187                   1    8    9    8    5    10   
Vardas188                     Pavardė188                   9    3    4    5    6    4    
Vardas189                     Pavardė189                   8    10   3    1    8    7    
Vardas190                     Pavardė190                   10   2    4    5    9    5    
Vardas191                     Pavardė191                   7    5    10   9    3    10   
Vardas192                     Pavardė192                   8    9    5    9    4    6    
Vardas193                     Pavardė193                   5    2    4    1    3    1    
Vardas194                     Pavardė194                   7    10   6    8    1    5    
Vardas195                     Pavardė195                   3    9    3    1    1    9    
Vardas196                     Pavardė196                   9    5    5    1    6    6    
Vardas197                     Pavardė197                   10   8    8    5    9    5    
Vardas198                     Pavardė198                   7    2    7    3    1    5    
Vardas199                     Pavardė199                   3    3    9    8    10   3    
Vardas200                     Pavardė200                   5    10   4    6    3    6    
Vardas201                     Pavardė201                   5    1    6    8    10   10   
Vardas202                     Pavardė202                   8    6    10   10   8    3    
Vardas203                     Pavardė203                   6    6    9    4    7    7    
Vardas204                     Pavardė204                   3    2    3    10   8    10   
Vardas205                     Pavardė205                   1    5    3    10   1    2    
Vardas206                     Pavardė206                   6    1    6    5    10   10   
Vardas207                     Pavardė207                   3    5    7    3    3    5    
Vardas208                     Pavardė208                   2    5    10   6    7    4    
Vardas209                     Pavardė209                   1    6    5    10   6    1    
Vardas210                     Pavardė210                   5    2    6    6    2    4    
Vardas211                     Pavardė211                   8    2    6    3    10   1    
Vardas212                     Pavardė212                   4    8    7    1    4    7    
Vardas213                     Pavardė213                   5    2    1    6    8    9    
Vardas214                     Pavardė214                   8    4    1    10   5    1    
Vardas215                     Pavardė215                   6    2    5    1    10   6    
Vardas216                     Pavardė216                   5    8    8    2    2    8    
Vardas217                     Pavardė217                   7    2    1    10   5    1    
Vardas218                     Pavardė218                   4    4    6    7    8    9    
Vardas219                     Pavardė219                   8    10   10   4    3    4    
Vardas220                     Pavardė220                   5    10   4    2    6    8    
Vardas221                     Pavardė221                   3    8    9    6    1    1    
Vardas222                     Pavardė222                   1    5    4    7    2    1    
Vardas223                     Pavardė223                   3    8    2    5    7    7    
Vardas224                     Pavardė224                   1    3    3    4    3    5    
Vardas225                     Pavardė225                   1    2    9    10   4    8    
Vardas226                     Pavardė226                   5    7    7    3    10   9    
Vardas227                     Pavardė227                   5    1    1    4    5    10   
Vardas228                     Pavardė228                   3    10   2    2    8    10   
Vardas229                     Pavardė229                   10   1    5    9    6    8    
Vardas230                     Pavardė230                   3    8    5    4    3    10   
Vardas231                     Pavardė231                   6    2    6    2    1    7    
Vardas232                     Pavardė232                   9    6    8    9    5    8    
Vardas233                     Pavardė233                   7    8    10   2    5    9    
Vardas234                     Pavardė234                   6    7    10   3    5    8    
Vardas235                     Pavardė235                   4    8    3    7    10   8    
Vardas236                     Pavardė236                   9    9    4    7    9    10   
Vardas237                     Pavardė237                   4    10   7    7    3    7    
Vardas238                     Pavardė238                   1    7    6    4    8    7    
Vardas239                     Pavardė239                   10   8    6    1    6    6    
Vardas240                     Pavardė240                   2    10   4    5    6    5    
Vardas241                     Pavardė241                   4    9    7    5    1    5    
Vardas242                     Pavardė242                   5    1    3    10   2    7    
Vardas243                     Pavardė243                   10   4    9    4    4    10   
Vardas244                     Pavardė244                   5    9    5    7    9    1    
Vardas245                     Pavardė245                   3    4    4    3    4    3    
Vardas246                     Pavardė246                   6    7    8    9    1    5    
Vardas247                     Pavardė247                   7    6    1    3    3    2    
Vardas248                     Pavardė248                   4    10   6    1    8    4    
Vardas249                     Pavardė249                   8    10   10   4    1    6    
Vardas250                     Pavardė250                   1    3    9    2    8    3    
Vardas251                     Pavardė251                   9    5    2    10   6    5    
Vardas252                     Pavardė252                   9    2    1    9    2    10   
Vardas253                     Pavardė253                   3    9    7    8    6    10   
Vardas254                     Pavardė254                   1    5    8    6    7    8    
Vardas255                     Pavardė255                   2    9    8    4    1    2    
Vardas256                     Pavardė256                   2    2    9    4    6    9    
Vardas257                     Pavardė257                   2    2    5    6    10   3    
Vardas258                     Pavardė258                   2    2    8    4    4    8    
Vardas259                     Pavardė259                   9    8    2    3    10   8    
Vardas260                     Pavardė260                   2    9    4    9    4    3    
Vardas261                     Pavardė261                   4    4    9    7    8    6    
Vardas262                     Pavardė262                   6    9    3    7    9    2    
Vardas263                     Pavardė263                   5    8    9    4    8    10   
Vardas264                     Pavardė264                   2    10   4    6    9    10   
Vardas265                     Pavardė265                   6    9    3    5    6    8    
Vardas266                     Pavardė266                   9    3    5    6    10   10   
Vardas267                     Pavardė267                   9    7    5    9    1    6    
Vardas268                     Pavardė268                   7    9    8    8    4    4    
Vardas269                     Pavardė269                   5    1    6    1    1    3    
Vardas270                     Pavardė270                   9    10   6    9    1    5    
Vardas271                     Pavardė271                   3    4    4    9    8    1    
Vardas272                     Pavardė272                   2    3    6    9    1    1    
Vardas273                     Pavardė273                   3    8    7    4    9    4    
Vardas274                     Pavardė274                   4    7    10   4    8    6    
Vardas275                     Pavardė275                   6    2    10   4    7    1    
Vardas276                     Pavardė276                   4    7    5    9    2    5    
Vardas277                     Pavardė277                   5    7    6    7    10   6    
Vardas278                     Pavardė278                   1    9    5    9    1    9    
Vardas279                     Pavardė279                   4    9    3    6    7    4    
Vardas280                     Pavardė280                   5    8    3    9    2    6    
Vardas281                     Pavardė281                   3    3    9    3    7    2    
Vardas282                     Pavardė282                   9    2    6    1    10   2    
Vardas283                     Pavardė283                   10   4    6    7    3    8    
Vardas284                     Pavardė284                   5    2    1    6    9    6    
Vardas285                     Pavardė285                   5    9    1    6    1    6    
Vardas286                     Pavardė286                   9    6    2    2    7    4    
Vardas287                     Pavardė287                   2    2    9    9    2    4    
Vardas288                     Pavardė288                   2    7    1    1    10   9    
Vardas289                     Pavardė289                   4    2    6    5    10   5    
Vardas290                     Pavardė290                   3    2    2    1    1    3    
Vardas291                     Pavardė291                   10   1    6    10   4    1    
Vardas292                     Pavardė292                   8    4    6    9    4    3    
Vardas293                     Pavardė293                   7    6    10   6    9    1    
Vardas294                     Pavardė294                   1    7    5    6    1    1    
Vardas295                     Pavardė295                   7    10   7    6    2    8    
Vardas296                     Pavardė296                   9    9    10   1    10   6    
Vardas297                     Pavardė297                   6    8    3    10   5    6    
Vardas298                     Pavardė298                   9    10   8    9    8    6    
Vardas299                     Pavardė299                   5    9    1    7    10   6    
Vardas300                     Pavardė300                   6    9    7    5    4    9    
Vardas301                     Pavardė301                   5    3    4    1    10   2    
Vardas302                     Pavardė302                   2    9    4    1    7    1    
Vardas303                     Pavardė303                   4    9    4    7    6    8    
Vardas304                     Pavardė304                   6    8    1    9    2    2    
Vardas305                     Pavardė305                   6    2    2    4    8    6    
Vardas306                     Pavardė306                   2    8    3    2    10   4    
Vardas307                     Pavardė307                   5    6    7    10   1    10   
Vardas308                     Pavardė308                   1    2    1    5    10   1    
Vardas309                     Pavardė309                   9    10   5    1    1    7    
Vardas310                     Pavardė310                   3    3    5    5    10   2    
Vardas311                     Pavardė311                   9    3    2    8    4    9    
Vardas312                     Pavardė312                   6    4    9    1    1    9    
Vardas313                     Pavardė313                   2    7    7    4    4    2    
Vardas314                     Pavardė314                   7    6    10   9    8    2    
Vardas315                     Pavardė315                   3    5    2    4    10   2    
Vardas316                     Pavardė316                   9    7    1    7    5    3    
Vardas317                     Pavardė317                   8    5    10   2    10   7    
Vardas318                     Pavardė318                   7    6    2    9    5    7    
Vardas319                     Pavardė319                   6    5    5    3    6    10   
Vardas320                     Pavardė320                   9    7    5    4    3    10   
Vardas321                     Pavardė321                   10   7    1    6    4    10   
Vardas322                     Pavardė322                   4    3    7    9    5    10   
Vardas323                     Pavardė323                   7    9    9    9    6    2    
Vardas324                     Pavardė324                   6    5    2    7    8    1    
Vardas325                     Pavardė325                   8    5    1    6    1    5    
Vardas326                     Pavardė326                   10   2    5    4    5    2    
Vardas327                     Pavardė327                   8    8    3    8    7    2    
Vardas328                     Pavardė328                   6    5    1    3    8    1    
Vardas329                     Pavardė329                   8    1    2    5    6    6    
Vardas330                     Pavardė330                   1    6    4    9    10   6    
Vardas331                     Pavardė331                   8    9    6    8    2    5    
Vardas332                     Pavardė332                   1    9    2    10   4    2    
Vardas333                     Pavardė333                   6    4    2    5    4    7    
Vardas334                     Pavardė334                   5    7    3    9    7    3    
Vardas335                     Pavardė335                   6    8    4    10   6    5    
Vardas336                     Pavardė336                   4    7    4    10   10   3    
Vardas337                     Pavardė337                   4    4    6    5    10   8    
Vardas338                     Pavardė338                   2    2    2    4    8    7    
Vardas339                     Pavardė339                   3    4    3    3    7    3    
Vardas340                     Pavardė340                   4    10   3    4    3    2    
Vardas341                     Pavardė341                   1    6    10   4    5    6    
Vardas342                     Pavardė342                   4    6    7    3    8    10   
Vardas343                     Pavardė343                   6    6    4    5    9    9    
Vardas344                     Pavardė344                   3    5    2    1    2    1    
Vardas345                     Pavardė345                   3    5    8    2    9    4    
Vardas346                     Pavardė346                   10   4    8    1    3    10   
Vardas347                     Pavardė347                   8    5    2    5    3    9    
Vardas348                     Pavardė348                   7    3    9    1    5    1    
Vardas349                     Pavardė349                   3    6    4    4    7    2    
Vardas350                     Pavardė350                   2    1    10   1    10   2    
Vardas351                     Pavardė351                   5    3    1    3    2    5    
Vardas352                     Pavardė352                   1    3    2    1    10   4    
Vardas353                     Pavardė353                   10   6    7    6    4    7    
Vardas354                     Pavardė354                   1    4    2    4    6    1    
Vardas355                     Pavardė355                   10   8    8    7    9    5    
Vardas356                     Pavardė356                   9    9    8    3    7    3    
Vardas357                     Pavardė357                   7    3    2    4    7    6    
Vardas358                     Pavardė358                   2    3    5    6    6    2    
Vardas359                     Pavardė359                   6    6    10   10   1    10   
Vardas360                     Pavardė360                   7    6    10   5    6    4    
Vardas361                     Pavardė361                   7    7    2    3    7    4    
Vardas362                     Pavardė362                   7    6    2    1    7    10   
Vardas363                     Pavardė363                   5    8    5    1    6    3    
Vardas364                     Pavardė364                   4    9    4    4    8    10   
Vardas365                     Pavardė365                   4    2    10   8    2    4    
Vardas366                     Pavardė366                   10   4    7    4    3    1    
Vardas367                     Pavardė367                   4    10   2    8    10   7    
Vardas368                     Pavardė368                   7    2    1    1    5    7    
Vardas369                     Pavardė369                   5    3    6    6    9    5    
Vardas370                     Pavardė370                   10   4    5    6    6    2    
Vardas371                     Pavardė371                   8    10   6    7    9    7    
Vardas372                     Pavardė372                   2    8    8    1    3    1    
Vardas373                     Pavardė373                   7    9    7    10   7    9    
Vardas374                     Pavardė374                   7    8    8    3    4    4    
Vardas375                     Pavardė375                   4    5    10   9    8    7    
Vardas376                     Pavardė376                   1    10   1    1    10   8    
Vardas377                     Pavardė377                   6    9    1    10   1    3    
Vardas378                     Pavardė378                   7    8    2    1    4    6    
Vardas379                     Pavardė379                   8    9    10   5    3    10   
Vardas380                     Pavardė380                   5    6    10   7    7    2    
Vardas381                     Pavardė381                   9    8    4    3    2    2    
Vardas382                     Pavardė382                   6    10   5    3    4    5    
Vardas383                     Pavardė383                   3    7    9    10   8    1    
Vardas384                     Pavardė384                   10   7    10   2    9    10   
Vardas385                     Pavardė385                   2    4    5    7    5    6    
Vardas386                     Pavardė386                   6    2    6    2    3    6    
Vardas387                     Pavardė387                   7    6    5    8    7    6    
Vardas388                     Pavardė388                   3    9    3    3    10   1    
Vardas389                     Pavardė389                   2    9    6    6    10   9    
Vardas390                     Pavardė390                   2    5    5    7    1    8    
Vardas391                     Pavardė391                   10   10   9    2    6    4    
Vardas392                     Pavardė392                   5    8    7    9    10   6    
Vardas393                     Pavardė393                   3    9    5    9    5    9    
Vardas394                     Pavardė394                   7    1    4    10   10   2    
Vardas395                     Pavardė395                   4    5    3    1    10   7    
Vardas396                     Pavardė396                   7    8    6    7    10   9    
Vardas397                     Pavardė397                   2    5    5    6    7    9    
Vardas398                     Pavardė398                   3    3    3    2    1    5    
Vardas399                     Pavardė399                   9    4    9    5    5    5    
Vardas400                     Pavardė400                   10   1    7    7    2    2    
Vardas401                     Pavardė401                   10   7    3    9    2    2    
Vardas402                     Pavardė402                   6    4    8    4    2    10   
Vardas403                     Pavardė403                   7    4    9    9    1    2    
Vardas404                     Pavardė404                   4    3    6    9    6    8    
Vardas405                     Pavardė405                   10   7    6    6    6    4    
Vardas406                     Pavardė406                   6    4    10   3    1    4    
Vardas407                     Pavardė407                   6    4    3    3    8    9    
Vardas408                     Pavardė408                   2    4    3    9    2    5    
Vardas409                     Pavardė409                   7    10   6    3    4    7    
Vardas410                     Pavardė410                   10   7    5    7    1    6    
Vardas411                     Pavardė411                   7    7    10   10   2    7    
Vardas412                     Pavardė412                   4    7    4    8    6    10   
Vardas413                     Pavardė413                   6    7    6    7    2    3    
Vardas414                     Pavardė414                   7    8    1    4    7    5    
Vardas415                     Pavardė415                   10   1    6    4    6    4    
Vardas416                     Pavardė416                   10   2    7    3    2    1    
Vardas417                     Pavardė417                   2    8    4    3    8    9    
Vardas418                     Pavardė418                   2    10   10   1    8    2    
Vardas419                     Pavardė419                   3    9    9    3    2    7    
Vardas420                     Pavardė420                   2    3    10   4    4    6    
Vardas421                     Pavardė421                   6    9    6    6    3    1    
Vardas422                     Pavardė422                   9    1    3    1    8    3    
Vardas423                     Pavardė423                   1    4    4    9    9    6    
Vardas424                     Pavardė424                   8    1    5    2    6    4    
Vardas425                     Pavardė425                   9    6    4    7    2    2    
Vardas426                     Pavardė426                   1    6    8    9    9    7    
Vardas427                     Pavardė427                   5    3    9    9    5    8    
Vardas428                     Pavardė428                   1    2    2    5    6    3    
Vardas429                     Pavardė429                   9    10   2    7    6    1    
Vardas430                     Pavardė430                   10   4    3    10   6    9    
Vardas431                     Pavardė431                   2    9    9    3    2    3    
Vardas432                     Pavardė432                   9    3    5    6    6    7    
Vardas433                     Pavardė433                   9    5    7    4    4    6    
Vardas434                     Pavardė434                   6    9    1    5    3    7    
Vardas435                     Pavardė435                   7    6    8    5    3    5    
Vardas436                     Pavardė436                   4    5    10   10   7    2    
Vardas437                     Pavardė437                   4    2    5    1    7    2    
Vardas438                     Pavardė438                   7    3    5    5    6    8    
Vardas439                     Pavardė439                   4    6    3    1    10   3    
Vardas440                     Pavardė440                   7    10   8    2    5    3    
Vardas441                     Pavardė441                   3    4    3    1    10   1    
Vardas442                     Pavardė442                   8    1    1    4    4    7    
Vardas443                     Pavardė443                   1    7    6    3    10   9    
Vardas444                     Pavardė444                   9    10   5    5    10   10   
Vardas445                     Pavardė445                   2    3    7    10   8    6    
Vardas446                     Pavardė446                   2    6    4    1    9    10   
Vardas447                     Pavardė447                   3    6    5    7    5    8    
Vardas448                     Pavardė448                   8    4    10   6    4    1    
Vardas449                     Pavardė449                   8    9    5    2    2    5    
Vardas450                     Pavardė450                   6    5    2    8    3    10   
Vardas451                     Pavardė451                   8    4    7    2    3    8    
Vardas452                     Pavardė452                   8    7    8    4    5    2    
Vardas453                     Pavardė453                   2    10   2    10   9    5    
Vardas454                     Pavardė454                   6    4    5    6    5    7    
Vardas455                     Pavardė455                   10   8    4    10   5    5    
Vardas456                     Pavardė456                   1    3    10   5    3    2    
Vardas457                     Pavardė457                   4    2    10   2    9    7    
Vardas458                     Pavardė458                   10   4    6    10   3    2    
Vardas459                     Pavardė459                   7    1    6    8    2    5    
Vardas460                     Pavardė460                   9    8    4    10   3    4    
Vardas461                     Pavardė461                   2    2    8    8    6    2    
Vardas462                     Pavardė462                   5    5    2    6    9    7    
Vardas463                     Pavardė463                   4    6    5    6    5    8    
Vardas464                     Pavardė464                   10   4    1    1    7    8    
Vardas465                     Pavardė465                   4    7    6    4    9    6    
Vardas466                     Pavardė466                   8    2    2    9    2    7    
Vardas467                     Pavardė467                   3    2    10   10   2    7    
Vardas468                     Pavardė468                   2    5    1    8    3    5    
Vardas469                     Pavardė469                   7    9    7    5    7    4    
Vardas470                     Pavardė470                   1    1    6    5    2    6    
Vardas471                     Pavardė471                   4    5    2    7    4    6    
Vardas472                     Pavardė472                   9    2    7    8    3    2    
Vardas473                     Pavardė473                   2    10   7    6    2    10   
Vardas474                     Pavardė474                   3    8    10   4    9    7    
Vardas475                     Pavardė475                   10   8    5    4    6    3    
Vardas476                     Pavardė476                   4    8    2    5    7    4    
Vardas477                     Pavardė477                   2    4    7    9    5    7    
Vardas478                     Pavardė478                   4    1    4    9    4    1    
Vardas479                     Pavardė479                   8    5    3    2    8    4    
Vardas480                     Pavardė480                   9    7    3    9    1    3    
Vardas481                     Pavardė481                   5    5    6    4    10   4    
Vardas482                     Pavardė482                   1    9    5    5    2    9    
Vardas483                     Pavardė483                   9    5    8    3    2    8    
Vardas484                     Pavardė484                   6    6    3    9    4    10   
Vardas485                     Pavardė485                   7    1    5    3    7    9    
Vardas486                     Pavardė486                   10   10   7    5    3    7    
Vardas487                     Pavardė487                   2    10   4    6    6    9    
Vardas488                     Pavardė488                   2    3    1    9    4    8    
Vardas489                     Pavardė489                   4    5    10   5    8    8    
Vardas490                     Pavardė490                   2    5    9    5    3    3    
Vardas491                     Pavardė491                   10   1    10   1    9    8    
Vardas492                     Pavardė492                   3    2    9    1    10   5    
Vardas493                     Pavardė493                   3    4    8    7    5    8    
Vardas494                     Pavardė494                   3    8    9    2    9    5    
Vardas495                     Pavardė495                   2    9    4    2    1    6    
Vardas496                     Pavardė496                   6    7    4    5    3    10   
Vardas497                     Pavardė497                   3    2    5    8    7    7    
